policy_number,date_of_premium_payment,amount,start_date,end_date,line_of_business,reinsurance_premium,reinsurance_commission,commission
HRE-POL-30345-UMB_4572,2022-09-29,119214.4847,2022-09-29,2023-01-28,Motor,0.0,0.0,0.0
HRE-POL-30373-MCP_4573,2022-12-28,133977.7387,2022-12-28,2023-04-27,Motor,0.0,0.0,16747.21734
HRE-POL-50674-CAR_4574,2022-10-15,125688.0245,2022-10-15,2023-02-14,Liabilities,0.0,0.0,28279.80552
HRE-POL-53937694-MCP_4575,2022-03-11,26569.85355,2022-03-11,2022-07-10,Motor,0.0,0.0,3321.231694
HRE-POL-53937715-MCP_4576,2022-03-01,26569.85355,2022-03-01,2022-06-30,Motor,0.0,0.0,3321.231694
HRE-POL-53937774-MCP_4577,2022-05-05,43009.88581,2022-05-05,2022-09-04,Motor,0.0,0.0,5376.235726
HRE-POL-53937782-MCP_4578,2022-06-01,66884.93067,2022-06-01,2023-05-31,Motor,0.0,0.0,8360.616333
HRE-POL-10027-ELB_4580,2022-03-01,26569.85355,2022-03-01,2022-12-31,Liabilities,0.0,0.0,5978.217048
HRE-POL-20139-MCP_4581,2022-02-08,23941.65071,2022-02-08,2023-02-07,Motor,0.0,0.0,2872.998086
HRE-POL-20169-MCP_4582,2022-02-01,23941.65071,2022-02-01,2022-05-31,Motor,0.0,0.0,2872.998086
HRE-POL-20609-MCP_4583,2022-06-27,66884.93067,2022-06-27,2022-10-26,Motor,0.0,0.0,8026.19168
HRE-POL-20902-MCP_4584,2022-08-30,98758.25161,2022-08-30,2022-12-31,Motor,0.0,0.0,12344.78145
HRE-POL-20907-MCP_4585,2022-08-18,98758.25161,2022-08-18,2022-12-17,Motor,0.0,0.0,11850.99019
HRE-POL-21143-MCP_4586,2022-07-21,133977.7387,2022-07-21,2022-11-19,Motor,0.0,0.0,16747.21734
HRE-POL-21178-MCP_4587,2022-06-01,133977.7387,2022-06-01,2022-09-30,Motor,0.0,0.0,16077.32865
HRE-POL-21236-MCP_4588,2022-05-05,133977.7387,2022-05-05,2022-09-03,Motor,0.0,0.0,16077.32865
HRE-POL-21248-MCP_4589,2022-04-22,133977.7387,2022-04-22,2022-08-21,Motor,0.0,0.0,16077.32865
HRE-POL-40002-MCP_4592,2022-01-17,22182.46065,2022-01-17,2023-01-07,Motor,0.0,0.0,0.0
HRE-POL-40165-MCP_4595,2022-02-07,23941.65071,2022-02-07,2022-06-12,Motor,0.0,0.0,0.0
HRE-POL-40240-MCP_4596,2022-06-03,66884.93067,2022-06-03,2022-10-02,Motor,0.0,0.0,6688.493067
HRE-POL-50662-ELE_4599,2022-10-05,125688.0245,2022-10-05,2023-10-04,Miscellaneous,0.0,0.0,28279.80552
HRE/MVE/P/000009980_4600,2022-08-19,200.0,2022-08-19,2022-12-18,Motor,0.0,0.0,0.0
HRE/MVE/P/000010004_4601,2022-08-29,107197.18,2022-08-29,2022-12-28,Motor,0.0,0.0,0.0
HRE/MVE/P/000010062_4602,2022-08-08,67583.54,2022-08-08,2022-12-07,Motor,0.0,0.0,0.0
HRE/MVE/P/000010091_4603,2022-08-19,109365.08,2022-08-19,2022-12-18,Motor,0.0,0.0,0.0
BYO/MVE/P/000010112_4604,2022-06-24,109365.08,2022-06-24,2022-10-31,Motor,0.0,0.0,13670.635
HRE/MVE/P/000010208_4605,2022-09-21,122853.54,2022-09-21,2023-01-20,Motor,0.0,0.0,14742.4248
HRE/MVE/P/000007054_4606,2022-09-30,124378.44,2022-09-30,2023-01-29,Motor,0.0,0.0,15547.305
HRE/UMB/P/000006763_4607,2022-10-10,125600.06,2022-10-10,2023-02-10,Motor,0.0,0.0,0.0
HRE/MVE/P/000010401_4608,2022-10-07,125641.38,2022-10-07,2023-10-06,Motor,0.0,0.0,15705.1725
HRE/MVE/P/000010425_4609,2022-10-14,125660.8,2022-10-14,2023-02-13,Motor,0.0,0.0,15079.296
HRE/MVE/P/000008332_4610,2022-10-17,125712.44,2022-10-17,2023-10-16,Motor,0.0,0.0,15085.4928
HRE/UMB/P/000006210_4611,2022-10-14,125799.84,2022-10-14,2023-02-14,Motor,0.0,0.0,0.0
HRE/MVE/P/000010525_4612,2022-10-17,126187.18,2022-10-17,2023-02-16,Motor,0.0,0.0,15142.4616
HRE/MVE/P/000010568_4613,2022-10-08,126449.1,2022-10-08,2023-02-07,Motor,0.0,0.0,0.0
HRE/DOM/P/000010654_4614,2022-10-11,126554.06,2022-10-11,2023-02-10,Property,0.0,0.0,0.0
HRE/MVE/P/000010734_4615,2022-11-10,127281.96,2022-11-10,2023-03-09,Motor,0.0,0.0,0.0
HRE/MVE/P/000010911_4616,2022-11-28,130542.64,2022-11-28,2023-03-27,Motor,0.0,0.0,0.0
HRE/MVE/P/000010913_4617,2022-11-28,130542.64,2022-11-28,2023-03-27,Motor,0.0,0.0,0.0
HRE/MVE/P/000010952_4618,2022-11-21,130985.68,2022-11-21,2023-11-20,Motor,0.0,0.0,15718.2816
HRE/MVE/P/000010961_4619,2022-11-30,130985.68,2022-11-30,2023-11-29,Motor,0.0,0.0,15718.2816
HRE/MVE/P/000010978_4620,2022-12-08,130985.68,2022-12-08,2023-12-07,Motor,0.0,0.0,15718.2816
HRE/MVE/P/000011017_4621,2022-11-17,130985.68,2022-11-17,2023-03-16,Motor,0.0,0.0,16373.21
BYO/MVE/P/000011148_4622,2022-10-01,200.0,2022-10-01,2023-09-30,Motor,0.0,0.0,25.0
HRE/MVE/P/000011106_4623,2022-04-07,135331.82,2022-04-07,2022-08-06,Motor,0.0,0.0,0.0
BYO/MVE/P/000011149_4624,2022-10-01,134440.98,2022-10-01,2023-09-30,Motor,0.0,0.0,16805.1225
HRE/MVE/P/000011163_4625,2022-04-01,134440.98,2022-04-01,2022-07-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000011167_4626,2022-07-01,134440.98,2022-07-01,2022-10-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000009966_4641,2022-08-21,106408.2801,2022-08-21,2022-12-20,Motor,0.0,0.0,12768.3552
HRE/MVE/P/000010305_4642,2022-09-17,124384.6589,2022-09-17,2023-01-16,Motor,0.0,0.0,15547.305
HRE/MVE/P/000010155_4644,2022-08-03,121039.6361,2022-08-03,2022-12-02,Motor,0.0,0.0,15129.95451
HRE-POL-21195-MCP_4646,2022-06-01,134346.1775,2022-06-01,2022-09-30,Motor,0.0,0.0,16794.10955
BYO/MVE/P/000010202_4650,2022-07-03,130068.1636,2022-07-03,2022-11-02,Motor,0.0,0.0,0.0
HRE/MVE/P/000010910_4651,2022-11-28,131900.2835,2022-11-28,2023-03-27,Motor,0.0,0.0,0.0
BYO-POL-40035-MCP_4655,2022-08-01,135451.4938,2022-08-01,2022-11-30,Motor,0.0,0.0,16934.78617
HRE-POL-30332-MCP_4660,2022-07-23,82182.47589,2022-07-23,2023-07-22,Motor,0.0,0.0,10271.79489
HRE/MVE/P/000011310_4665,2022-12-01,139745.4045,2022-12-01,2023-04-05,Motor,0.0,0.0,13974.54045
POL-HEALTH-064_4666,2022-09-01,122194.8468,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
BYO/MVE/P/000011166_4687,2022-10-24,138924.5867,2022-10-24,2023-02-23,Motor,0.0,0.0,17363.05257
HRE/MVE/P/000010095_4693,2022-08-19,113920.1356,2022-08-19,2022-12-17,Motor,0.0,0.0,0.0
HRE/MVE/P/000010259_4694,2022-09-16,129558.802,2022-09-16,2023-01-15,Motor,0.0,0.0,0.0
HRE/MVE/P/000011201_4695,2022-12-16,140439.8086,2022-12-16,2023-12-31,Motor,0.0,0.0,16851.16256
HRE/MVE/P/000011278_4696,2022-12-07,141936.8983,2022-12-07,2023-04-13,Motor,0.0,0.0,17030.79611
HRE/MVE/P/000010252_4699,2022-09-30,130441.889,2022-09-30,2023-01-29,Motor,0.0,0.0,16306.01348
HRE-POL-50008-MPP_4700,2022-01-01,25132.74784,2022-01-01,2022-01-31,Property,0.0,0.0,5277.9369
_HRE-POL-20429-MCP__4713,2022-04-12,31556.8344,2022-04-12,2022-08-10,Motor,0.0,0.0,3944.6043
_HRE-POL-5393786-MAR__4715,2022-01-31,25138.73325,2022-01-31,2022-05-30,Transport,0.0,0.0,5656.214981
HRE-POL-30399-MCP_4716,2022-12-30,140676.6256,2022-12-30,2023-12-29,Motor,0.0,0.0,17584.57821
HRE-POL-53937654-MAR_4717,2022-05-10,45160.3801,2022-05-10,2022-09-09,Transport,0.0,0.0,10161.08552
HRE-POL-53937655-MAR_4718,2022-05-03,45160.3801,2022-05-03,2022-09-02,Transport,0.0,0.0,10161.08552
HRE-POL-53937662-MAR_4719,2022-06-22,70229.1772,2022-06-22,2022-10-21,Transport,0.0,0.0,14045.83544
HRE-POL-53937663-MAR_4720,2022-06-21,70229.1772,2022-06-21,2022-10-20,Transport,0.0,0.0,15801.56487
HRE-POL-53937664-MAR_4721,2022-06-20,70229.1772,2022-06-20,2022-10-19,Transport,0.0,0.0,15801.56487
HRE/MVE/P/000010047_4722,2022-08-01,114833.334,2022-08-01,2023-07-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000010090_4723,2022-08-11,131334.354,2022-08-11,2022-12-10,Motor,0.0,0.0,0.0
HRE/MTF/P/000010290_4724,2022-09-11,130597.362,2022-09-11,2023-01-10,Motor,0.0,0.0,13059.7362
HRE/MTP/P/000010517_4725,2022-10-25,132496.539,2022-10-25,2023-02-24,Miscellaneous,0.0,0.0,26499.3078
HRE/DOM/P/000010994_4726,2022-11-28,137534.964,2022-11-28,2023-11-27,Property,0.0,0.0,27506.9928
HRE/MVE/P/000011120_4727,2022-12-06,140486.703,2022-12-06,2023-04-05,Motor,0.0,0.0,0.0
HRE/MVE/P/000011189_4728,2022-12-09,141267.231,2022-12-09,2023-12-08,Motor,0.0,0.0,16952.06772
HRE/MTP/P/000011289_4729,2022-10-01,143153.829,2022-10-01,2022-12-31,Miscellaneous,0.0,0.0,28630.7658
HRE/UMB/P/000005793_4730,2022-12-01,143710.119,2022-12-01,2023-04-30,Motor,0.0,0.0,0.0
_HRE-POL-20481-UMB__4739,2022-04-22,31567.35334,2022-04-22,2023-04-21,Motor,0.0,0.0,3788.322834
_BYO-POL-4000314-MCP__4742,2022-05-04,45310.9147,2022-05-04,2023-04-30,Motor,0.0,0.0,0.0
HRE/MVE/P/000006932_4743,2022-08-24,112201.9213,2022-08-24,2022-12-23,Motor,0.0,0.0,14023.91013
HRE/MVE/P/000010152_4744,2022-08-31,127381.5332,2022-08-31,2022-12-30,Motor,0.0,0.0,15921.18167
HRE-POL-30333-UMB_4745,2022-07-11,85847.20555,2022-07-11,2022-11-11,Motor,0.0,0.0,10730.39339
BYO/MVE/P/000010126_4747,2022-07-01,123397.25,2022-07-01,2023-06-30,Motor,0.0,0.0,0.0
_HRE-POL-5393781-DCO__4749,2022-02-01,25438.00388,2022-02-01,2022-05-31,Property,0.0,0.0,5723.251603
HRE-POL-53937622-DCO_4750,2022-06-01,71065.23883,2022-06-01,2022-09-30,Property,0.0,0.0,15988.84268
HRE/DOM/P/000010536_4751,2022-10-01,134333.065,2022-10-01,2023-01-31,Property,0.0,0.0,26866.613
HRE-POL-21124-MCP_4752,2022-08-01,142686.2917,2022-08-01,2022-11-30,Motor,0.0,0.0,17839.13591
HRE-POL-21277-MCP_4753,2022-04-01,142686.2917,2022-04-01,2022-07-31,Motor,0.0,0.0,17839.13591
BYO-POL-40050334-MCP_4760,2022-02-01,25537.36173,2022-02-01,2022-05-31,Motor,0.0,0.0,3192.619123
HRE-POL-53937696-MCP_4761,2022-03-12,28340.73429,2022-03-12,2022-07-11,Motor,0.0,0.0,3543.089971
HRE-POL-53937784-MCP_4762,2022-06-16,71342.8113,2022-06-16,2022-10-15,Motor,0.0,0.0,8919.105504
HRE/MVE/P/000010239_4763,2022-09-27,132668.263,2022-09-27,2023-01-26,Motor,0.0,0.0,15920.44032
HRE/MVE/P/000011057_4764,2022-12-01,141400.5573,2022-12-01,2023-03-31,Motor,0.0,0.0,17676.72665
_HRE-POL-20436-MFL__4766,2022-04-12,32112.83577,2022-04-12,2023-03-02,Motor,0.0,0.0,4013.728794
HRE-POL-53937621-DCO_4775,2022-06-01,71566.87581,2022-06-01,2022-09-30,Property,0.0,0.0,16102.54706
BYO-POL-40002111-DCO_4778,2022-02-07,25737.27452,2022-02-07,2023-02-06,Property,0.0,0.0,5791.485308
HRE/MTP/P/000011137_4779,2022-10-12,215.0,2022-10-12,2023-10-11,Miscellaneous,0.0,0.0,43.0
_BYO-POL-4000212-MCP__4786,2022-04-14,46392.61333,2022-04-14,2022-08-13,Motor,0.0,0.0,4638.616184
BYO/MVE/P/000010195_4787,2022-09-01,132323.8202,2022-09-01,2022-12-31,Motor,0.0,0.0,13230.54189
BYO-POL-40047320-MCP_4788,2022-02-20,25825.85863,2022-02-20,2022-06-19,Motor,0.0,0.0,0.0
HRE/MVE/P/000011401_4804,2022-11-26,216.66,2022-11-26,2023-07-25,Motor,0.0,0.0,75.83
HRE-POL-21111-MCP_4805,2022-08-12,145144.7832,2022-08-12,2022-12-11,Motor,0.0,0.0,17417.10603
HRE/MVE/P/000010697_4806,2022-10-31,137102.3409,2022-10-31,2023-02-27,Motor,0.0,0.0,16452.0278
HRE/MVE/P/000010958_4807,2022-11-22,141903.3364,2022-11-22,2023-03-21,Motor,0.0,0.0,49663.22057
BYO/MVE/P/000010114_4811,2022-06-01,218.0,2022-06-01,2022-09-30,Motor,0.0,0.0,0.0
HRE/MVE/P/000010300_4823,2022-09-26,136194.3918,2022-09-26,2023-01-25,Motor,0.0,0.0,0.0
MTR-POL-41172-MCP_4824,2022-07-08,89252.19801,2022-07-08,2022-09-30,Motor,0.0,0.0,11156.52475
_BYO-POL-4002666-MCP__4825,2022-05-02,47310.87439,2022-05-02,2023-05-01,Motor,0.0,0.0,5913.859298
_HRE-POL-20248-MAR__4826,2022-03-31,29226.8389,2022-03-31,2022-05-31,Transport,0.0,0.0,6576.038753
BYO-POL-40023-GIT_4828,2022-03-03,29226.8389,2022-03-03,2022-07-02,Transport,0.0,0.0,0.0
HRE-POL-21512-PAC_4829,2022-06-03,147375.5126,2022-06-03,2022-08-31,Motor,0.0,0.0,18421.93907
HRE-POL-50603-PAC_4830,2022-06-03,89284.66516,2022-06-03,2023-03-31,Motor,0.0,0.0,11160.58315
HRE/MVE/P/000010535_4831,2022-10-01,139074.232,2022-10-01,2023-09-30,Motor,0.0,0.0,17384.279
HRE-POL-21187-MCP_4833,2022-05-30,148045.4013,2022-05-30,2022-09-28,Motor,0.0,0.0,18509.0246
HRE-POL-40093-MCP_4834,2022-01-10,24511.61901,2022-01-10,2022-05-09,Motor,0.0,0.0,3064.506938
HRE/MVE/P/000010965_4836,2022-11-28,146265.1596,2022-11-28,2023-03-31,Motor,0.0,0.0,0.0
_HRE-POL-20233-MCP__4837,2022-03-24,29787.46281,2022-03-24,2023-02-28,Motor,0.0,0.0,0.0
_HRE-POL-20526-MCP__4857,2022-05-11,48386.12153,2022-05-11,2022-11-11,Motor,0.0,0.0,6049.340439
_HRE-POL-30055-MCP__4858,2022-02-08,26934.35705,2022-02-08,2022-06-07,Motor,0.0,0.0,0.0
_HRE-POL-90097-MCP__4859,2022-02-01,26934.35705,2022-02-01,2022-05-31,Motor,0.0,0.0,0.0
_HRE-POL-90098-MCP__4860,2022-02-01,26934.35705,2022-02-01,2022-05-31,Motor,0.0,0.0,0.0
HRE-POL-53937687-MCP_4863,2022-03-09,29891.08524,2022-03-09,2022-07-08,Motor,0.0,0.0,0.0
HRE-POL-53937771-MCP_4864,2022-05-04,48386.12153,2022-05-04,2022-09-03,Motor,0.0,0.0,0.0
HRE-POL-53937775-MCP_4865,2022-05-01,48386.12153,2022-05-01,2023-04-30,Motor,0.0,0.0,0.0
HRE-POL-20621-MCP_4866,2022-06-20,75245.547,2022-06-20,2022-10-20,Motor,0.0,0.0,9407.365498
HRE-POL-30038-MCP_4867,2022-01-19,24955.26823,2022-01-19,2023-01-18,Motor,0.0,0.0,0.0
HRE-POL-90048-MCP_4868,2022-01-17,24955.26823,2022-01-17,2022-05-16,Motor,0.0,0.0,0.0
MTR-POL-41142-MCP_4869,2022-06-02,75245.547,2022-06-02,2022-10-01,Motor,0.0,0.0,0.0
HRE/MVE/P/000010031_4870,2022-08-22,123035.715,2022-08-22,2023-08-21,Motor,0.0,0.0,0.0
HRE/MAT/P/000010035_4871,2022-08-24,225.0,2022-08-24,2023-08-23,Property,0.0,0.0,45.0
HRE/MVE/P/000007936_4872,2022-09-23,138210.2325,2022-09-23,2023-09-22,Motor,0.0,0.0,16585.2279
HRE/DOM/P/000010231_4873,2022-09-27,139133.16,2022-09-27,2022-12-26,Property,0.0,0.0,0.0
HRE/MVE/P/000010234_4874,2022-10-24,139865.4,2022-10-24,2023-02-23,Motor,0.0,0.0,0.0
MTR/MVE/P/000010386_4875,2022-10-02,141111.945,2022-10-02,2023-02-01,Motor,0.0,0.0,0.0
HRE/MVE/P/000005008_4876,2022-10-07,225.0,2022-10-07,2023-10-06,Motor,0.0,0.0,0.0
HRE/MVE/P/000010594_4877,2022-10-01,225.0,2022-10-01,2023-02-12,Motor,0.0,0.0,0.0
HRE/MVE/P/000010662_4878,2022-09-29,142373.3175,2022-09-29,2023-01-28,Motor,0.0,0.0,0.0
HRE/MVE/P/000003174_4879,2022-10-01,142373.3175,2022-10-01,2023-01-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000011005_4880,2022-11-07,147358.89,2022-11-07,2023-03-06,Motor,0.0,0.0,0.0
HRE/MVE/P/000011384_4881,2022-12-23,153975.1275,2022-12-23,2023-05-31,Motor,0.0,0.0,0.0
_BYO-POL-4000829-MCP__4889,2022-04-25,48418.37895,2022-04-25,2022-08-24,Motor,0.0,0.0,0.0
HRE-POL-21312-MCP_4890,2022-06-02,150825.4394,2022-06-02,2022-10-01,Motor,0.0,0.0,18850.66784
_HRE-POL-20419-MCP__4892,2022-04-01,33965.67276,2022-04-01,2022-12-31,Motor,0.0,0.0,4245.14558
HRE/MVE/P/000010059_4894,2022-08-15,140338.3461,2022-08-15,2022-12-14,Motor,0.0,0.0,0.0
BYO-POL-40014166-MCP_4900,2022-03-01,30156.78378,2022-03-01,2023-02-28,Motor,0.0,0.0,0.0
HRE-POL-20890-MCH_4901,2022-08-17,112337.5112,2022-08-17,2022-11-16,Transport,0.0,0.0,25277.1745
_HRE-POL-20424-DCO__4903,2022-04-12,34261.70592,2022-04-12,2023-04-11,Property,0.0,0.0,6852.341184
BYO/MVE/P/000010111_4904,2022-05-24,72040.6926,2022-05-24,2022-09-23,Motor,0.0,0.0,0.0
HRE-POL-20898-AAR_4906,2022-08-17,113073.2602,2022-08-17,2023-01-31,Property,0.0,0.0,25440.12562
HRE-POL-20994-AAR_4907,2022-08-17,136494.6242,2022-08-17,2022-12-16,Property,0.0,0.0,30709.65125
_MTR-POL-41109-AAR__4926,2022-04-14,34562.2472,2022-04-14,2023-04-13,Property,0.0,0.0,0.0
HRE-POL-53937812-MCP_4927,2022-06-17,76917.67027,2022-06-17,2022-10-16,Motor,0.0,0.0,0.0
HRE/MVE/P/000008236_4928,2022-10-20,145201.967,2022-10-20,2023-01-19,Motor,0.0,0.0,17424.23604
HRE-POL-20891-MCH_4929,2022-08-17,113695.4372,2022-08-17,2022-11-16,Transport,0.0,0.0,25583.32508
HRE-POL-20409-DCO_4932,2022-02-01,30887.45475,2022-02-01,2022-05-01,Property,0.0,0.0,6949.345196
_MTR-POL-41117-MCP__4937,2022-05-04,50106.51696,2022-05-04,2022-09-03,Motor,0.0,0.0,0.0
HRE-POL-20976-MCP_4938,2022-08-01,138884.8746,2022-08-01,2022-11-30,Motor,0.0,0.0,31252.07716
BYO/DOM/P/000009807_4940,2022-08-01,104850.0,2022-08-01,2023-07-31,Property,0.0,0.0,0.0
MTR/MVE/P/000010135_4941,2022-09-14,140792.1839,2022-09-14,2023-01-13,Motor,0.0,0.0,0.0
HRE-POL-53937659-MAR_4962,2022-06-14,78031.30436,2022-06-14,2022-10-13,Transport,0.0,0.0,17557.2943
HRE-POL-53937661-MAR_4963,2022-06-17,78031.30436,2022-06-17,2022-10-16,Transport,0.0,0.0,17557.2943
HRE-POL-21495-MAR_4964,2022-09-15,156305.1289,2022-09-15,2023-01-14,Transport,0.0,0.0,35169.15641
HRE/MAR/P/000010039_4966,2022-08-11,233.33,2022-08-11,2022-12-10,Transport,0.0,0.0,46.67
HRE/MTP/P/000010757_4967,2022-11-14,148584.9173,2022-11-14,2023-03-13,Miscellaneous,0.0,0.0,29719.53067
HRE/MVE/P/000011026_4968,2022-11-29,152814.4436,2022-11-29,2023-03-28,Motor,0.0,0.0,19104.26143
HRE/MTP/P/000011027_4969,2022-11-01,152814.4436,2022-11-01,2023-02-28,Miscellaneous,0.0,0.0,30565.50843
HRE/MAT/P/000011033_4970,2022-11-28,152814.4436,2022-11-28,2023-03-27,Property,0.0,0.0,30565.50843
HRE/MAR/P/000011118_4971,2022-12-06,156094.1067,2022-12-06,2023-04-05,Transport,0.0,0.0,31221.49728
HRE-POL-20082-UMB_4975,2022-02-25,27956.66554,2022-02-25,2022-05-31,Motor,0.0,0.0,3494.283922
_HRE-POL-90100-MAR__4977,2022-02-10,28011.73134,2022-02-10,2022-06-09,Transport,0.0,0.0,4902.052984
BYO-POL-40013164-MCP_4978,2022-04-01,31086.72865,2022-04-01,2022-07-31,Motor,0.0,0.0,0.0
HRE-POL-50017-DCO_4979,2022-01-04,25953.47895,2022-01-04,2023-01-03,Property,0.0,0.0,0.0
HRE/MTP/P/000010537_4980,2022-10-07,148107.7355,2022-10-07,2023-02-06,Miscellaneous,0.0,0.0,29622.81142
HRE-POL-30045-AAR_4981,2022-01-01,28090.73878,2022-01-01,2022-03-31,Property,0.0,0.0,6320.595789
HRE/MVE/P/000009913_4982,2022-07-18,113235.7605,2022-07-18,2022-11-17,Motor,0.0,0.0,0.0
_HRE-POL-30223-MAT__4983,2022-05-19,50751.66525,2022-05-19,2022-09-18,Property,0.0,0.0,11419.12468
HRE-POL-21503-DCO_4987,2022-11-20,158777.0181,2022-11-20,2023-03-19,Property,0.0,0.0,35725.16403
HRE/DOM/P/000011139_4989,2022-12-14,159601.6699,2022-12-14,2023-12-13,Property,0.0,0.0,31920.33398
_BYO-POL-40033-AAR__4990,2022-04-01,51181.76411,2022-04-01,2023-03-31,Property,0.0,0.0,11515.89692
HRE-POL-21374-PBL_4991,2022-04-01,159500.4979,2022-04-01,2023-03-31,Liabilities,0.0,0.0,35885.93731
_BYO-POL-40038-RTA__5015,2022-04-01,51611.86297,2022-04-01,2023-03-31,Motor,0.0,0.0,6451.482871
_HRE-POL-20428-DCO__5016,2022-04-12,36064.9536,2022-04-12,2023-04-11,Property,0.0,0.0,7212.99072
_HRE-POL-20472-MCP__5017,2022-04-28,36064.9536,2022-04-28,2023-04-30,Motor,0.0,0.0,0.0
_HRE-POL-20534-MCP__5018,2022-05-23,51611.86297,2022-05-23,2023-05-22,Motor,0.0,0.0,6193.423556
HRE-POL-30308-MCP_5020,2022-07-15,97401.4529,2022-07-15,2022-11-14,Motor,0.0,0.0,0.0
HRE-POL-53937820-MCP_5022,2022-06-22,80261.9168,2022-06-22,2022-10-21,Motor,0.0,0.0,0.0
HRE-POL-53937822-MCP_5023,2022-06-28,80261.9168,2022-06-28,2022-10-27,Motor,0.0,0.0,0.0
HRE-POL-20605-UMB_5024,2022-06-21,80261.9168,2022-06-21,2023-06-20,Motor,0.0,0.0,9631.430016
HRE-POL-20606-UMB_5025,2022-06-21,80261.9168,2022-06-21,2023-06-20,Motor,0.0,0.0,9631.430016
HRE-POL-20607-UMB_5026,2022-06-21,80261.9168,2022-06-21,2023-06-20,Motor,0.0,0.0,9631.430016
HRE-POL-20808-MCP_5027,2022-07-29,97401.4529,2022-07-29,2023-03-29,Motor,0.0,0.0,34090.50852
HRE-POL-30021-MCP_5028,2022-01-21,26618.95277,2022-01-21,2023-01-20,Motor,0.0,0.0,3327.369097
HRE-POL-30169-MCP_5029,2022-04-21,36064.9536,2022-04-21,2022-08-20,Motor,0.0,0.0,0.0
HRE-POL-30270-UMB_5030,2022-06-10,80261.9168,2022-06-10,2023-05-31,Motor,0.0,0.0,10032.7396
HRE-POL-30279-UMB_5031,2022-06-01,80261.9168,2022-06-01,2023-05-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000004696_5032,2022-07-11,240.0,2022-07-11,2022-11-10,Motor,0.0,0.0,0.0
HRE/MVE/P/000010044_5033,2022-08-25,131238.096,2022-08-25,2022-12-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000010318_5034,2022-09-01,149562.3,2022-09-01,2023-08-31,Motor,0.0,0.0,17947.476
HRE/MVE/P/000010331_5035,2022-09-23,149254.128,2022-09-23,2023-01-22,Motor,0.0,0.0,0.0
HRE/MVE/P/000010439_5036,2022-10-22,150959.808,2022-10-22,2023-02-21,Motor,0.0,0.0,18115.17696
HRE/MVE/P/000010451_5037,2022-09-30,150959.808,2022-09-30,2023-09-29,Motor,0.0,0.0,18869.976
HRE/UMB/P/000010482_5038,2022-10-20,151165.32,2022-10-20,2023-10-20,Motor,0.0,0.0,18139.8384
HRE/MVE/P/000010600_5039,2022-10-01,151742.328,2022-10-01,2023-01-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000006398_5040,2022-10-01,151742.328,2022-10-01,2023-01-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000010690_5041,2022-09-23,240.0,2022-09-23,2023-01-22,Motor,0.0,0.0,0.0
BYO/MVE/P/000010729_5042,2022-11-09,152729.472,2022-11-09,2023-03-08,Motor,0.0,0.0,0.0
HRE/MVE/P/000010762_5043,2022-04-01,152832.384,2022-04-01,2023-03-31,Motor,0.0,0.0,0.0
BYO/MVE/P/000010832_5044,2022-11-09,153434.952,2022-11-09,2023-03-08,Motor,0.0,0.0,0.0
HRE/MVE/P/000010840_5045,2022-11-18,153434.952,2022-11-18,2023-01-31,Motor,0.0,0.0,18412.19424
HRE/MVE/P/000006281_5046,2022-11-01,153434.952,2022-11-01,2023-02-28,Motor,0.0,0.0,0.0
HRE/MVE/P/000011007_5047,2022-11-30,157182.816,2022-11-30,2023-11-29,Motor,0.0,0.0,18861.93792
HRE/MVE/P/000011138_5048,2022-10-22,161213.808,2022-10-22,2023-02-21,Motor,0.0,0.0,0.0
HRE/UMB/P/000011176_5049,2022-12-18,161448.264,2022-12-18,2023-04-18,Motor,0.0,0.0,19373.79168
HRE/MVE/P/000011300_5050,2022-10-01,163604.376,2022-10-01,2023-09-30,Motor,0.0,0.0,19632.52512
HRE-POL-30159-MCP_5054,2022-04-29,36165.63493,2022-04-29,2023-03-30,Motor,0.0,0.0,0.0
HRE/MVE/P/000011076_5059,2022-10-04,160616.2715,2022-10-04,2023-02-03,Motor,0.0,0.0,20080.3574
HRE/MVE/P/000010423_5060,2022-10-14,151980.4546,2022-10-14,2023-02-28,Motor,0.0,0.0,18999.91296
HRE/DOM/P/000010424_5061,2022-10-14,152363.72,2022-10-14,2023-02-13,Property,0.0,0.0,30472.744
_HRE-POL-20319-MCP__5065,2022-03-04,32548.0706,2022-03-04,2023-03-03,Motor,0.0,0.0,0.0
HRE-POL-53937755-MCP_5066,2022-05-26,52687.11011,2022-05-26,2022-09-25,Motor,0.0,0.0,0.0
HRE-POL-21200-MCP_5067,2022-06-29,164122.7299,2022-06-29,2023-06-29,Motor,0.0,0.0,19694.72759
HRE/MVE/P/000010998_5068,2022-11-05,160457.458,2022-11-05,2023-11-04,Motor,0.0,0.0,0.0
HRE/MVE/P/000011345_5069,2022-12-19,167661.8055,2022-12-19,2023-04-18,Motor,0.0,0.0,0.0
